mention_id,episode_id,published_at,episode_title,company_or_theme,ticker,market,mention_type,current_stance,current_conviction,current_time_horizon,evidence_text,rationale,reviewer_note,transcript_line,transcript_context,review_decision,corrected_stance,corrected_conviction,corrected_time_horizon,corrected_evidence_text,review_comment
m_20260603_001,ep_20260603_667,2026-06-03,EP667 | 🌍,Marvell,MRVL,US,company,past_review,medium,short,老黃講說 Marvell 可能是下一個兆元企業之後 Marvell 直接射出去。,主要是在回顧 Jensen Huang 點名後股價反應，屬於事後現象描述，不先作為新 bullish 訊號。,ASR transcript has errors such as Mario or 瑪瑞爾; manually verify against audio before approval,475,在老黃講說 / Mario可能是下一個照員企業之後 / Mario這一個有點像是說,,,,,,
m_20260603_002,ep_20260603_667,2026-06-03,EP667 | 🌍,光通訊,,concept,theme,bullish,medium,medium,光的一個成長的速率跟未來發展的可能性是持續的在拉大。,對光通訊方向有明確正向產業判斷，但屬概念主題，需事前定義籃子後才能回測。,ASR transcript needs manual cleanup; evidence may refer to optical interconnect CPO or silicon photonics,524,光的一個成長的速率 / 跟未來發展的可能性 / 是持續的在拉大,,,,,,
m_20260603_003,ep_20260603_667,2026-06-03,EP667 | 🌍,光通訊,,concept,theme,bullish,medium,short,有可能在後面這個資金又會再一次的說不定就往光的方向去跑。,提到資金可能再往光通訊方向流動，偏短中期題材判斷。,ASR transcript needs manual cleanup; do not approve until context is verified,539,那所以有可能在後面 / 這個資金又會再一次的 / 說不定就往光的方向去跑,,,,,,
m_20260603_004,ep_20260603_667,2026-06-03,EP667 | 🌍,AI PC,,concept,theme,watch,medium,medium,有沒有可能在 AI PC 這邊產出新的可能性。,語氣偏觀察與驗證，尚非明確看多，因此先標 watch。,ASR transcript needs manual cleanup; verify whether this is a new signal or discussion only,603,還有軟體的優化之後 / 那有沒有可能在AI PC這邊 / 產出新的可能性,,,,,,
m_20260603_005,ep_20260603_667,2026-06-03,EP667 | 🌍,AI PC,,concept,theme,bullish,medium,medium,如果 AI PC 可以拉起來的話 因為它本身的單價是比較高 裡面用到元件也是比較高。,對 AI PC 銷量若改善時的供應鏈價值有正向假設，但仍需確認語氣強度。,ASR transcript needs manual cleanup; concept not included in main backtest,742,但如果說 AI PC可以拉起來的話 / 因為它本身的單價是比較高 / AS PC比較高,,,,,,
m_20260603_006,ep_20260603_667,2026-06-03,EP667 | 🌍,台積電,2330,TWSE,company,bullish,medium,short,TSMC 很明顯地在轉強 搞不好後面投信的資金進來就有機會會把它推上去。,對 TSMC 型態與資金面有正向短期判斷，可作候選 bullish 訊號。,ASR transcript needs manual cleanup; verify quote and timing before approval,1110,那差不多就是在這兩個月會完成 / 所以搞不好後面投信的資金進來 / 就有機會會把它推上去,,,,,,
m_20260603_007,ep_20260603_667,2026-06-03,EP667 | 🌍,NVIDIA,NVDA,US,company,bullish,medium,short,NVIDIA 也是有突破在往上去走 所以確實其實是有機會的。,對 NVIDIA 走勢突破有正向描述，可作候選 bullish 訊號。,ASR transcript needs manual cleanup; verify exact wording before approval,1115,NVIDIA也是有突破在網上去走的 / 所以確實,,,,,,
m_20260603_008,ep_20260603_667,2026-06-03,EP667 | 🌍,功率半導體,,concept,theme,bullish,medium,medium,功率半導體相關的一些公司 基本面有滿顯著的在改善中 可能是下一波題材的一個會據點。,對功率半導體基本面與題材延伸有正向判斷，但為概念主題。,ASR transcript needs manual cleanup; concept not included in main backtest,1083,其實我們都注意到他的基本面 / 有滿顯著的在改善中 / 所以他確實有可能是下一波題材的一個會據點,,,,,,
m_20260530_001,ep_20260530_666,2026-05-30,EP666 | 🍐,被動元件,,concept,theme,bullish,medium,short,全球缺口大概是高達20幾%左右 所有人的產能加起來都是不夠的 後面都會持續發酵 持續的漲價。,對電容與被動元件供需缺口及漲價有明確正向描述，但需確認 ASR 是否誤寫材料名稱。,ASR transcript needs manual cleanup; verify whether this refers to aluminum capacitors or other passive components,678,它的全球缺口大概是高達20幾%左右 / 就是說所有人的產能加起來都是不夠的 / 所以這邊應該在後面都會持續發酵,,,,,,
m_20260530_002,ep_20260530_666,2026-05-30,EP666 | 🍐,AI 軟體,,concept,theme,bullish,medium,medium,其實AI是幫這些軟體去做加分 他不是一個扣分項。,對 AI 軟體受惠有明確正向判斷，可作概念候選訊號。,ASR transcript needs manual cleanup; concept not included in main backtest,770,那就告訴大家說 / 其實AI是幫這些軟體去做加分 / 他不是一個扣分項,,,,,,
m_20260530_003,ep_20260530_666,2026-05-30,EP666 | 🍐,Snowflake,SNOW,US,company,bullish,medium,short,最近像是什麼Octa或是Snowflake 都是開出極好的成績。,以近期成績作為正向證據，但 ASR 與上下文需校對後才能核准。,ASR transcript needs manual cleanup; verify exact company names and whether this is new signal or result review,768,那最近像是什麼Octa或是Snowflake / 都是開出雞號的成績 / 那就告訴大家說,,,,,,
