mention_id,episode_id,published_at,company_or_theme,ticker,market,mention_type,stance,conviction,time_horizon,evidence_text,rationale,review_status,reviewer_note
sample_m_001,sample_ep_001,2026-06-05,台積電,2330,TWSE,company,bullish,medium,medium,我覺得台積電接下來還是會受惠 AI 需求，先進製程的能見度很高。,有明確正向未來理由與單一股票標的。,approved,sample row for schema validation
sample_m_002,sample_ep_001,2026-06-05,AI Server,,concept,theme,watch,low,medium,AI Server 這條線可以先觀察，等下季財報確認。,屬於觀察名單，不納入主要回測。,approved,sample row for schema validation
m_20260603_001,ep_20260603_667,2026-06-03,Marvell,MRVL,US,company,past_review,medium,short,老黃講說 Marvell 可能是下一個兆元企業之後，Marvell 這個大牛車的東西突然間變成飛天神牛直接射出去。,主要是在回顧 Jensen Huang 點名後股價反應，屬於事後現象描述，不先作為新 bullish 訊號。,approved,"small whisper review confirms Marvell context; approved as past_review, not a new bullish signal."
m_20260603_002,ep_20260603_667,2026-06-03,光通訊,,concept,theme,bullish,medium,medium,光的一個成長的速率跟未來發展的可能性是持續的在拉大。,對光通訊方向有明確正向產業判斷，但屬概念主題，需事前定義籃子後才能回測。,approved,ASR transcript needs manual cleanup; evidence may refer to optical interconnect CPO or silicon photonics; review: Context supports optical communication bullish thesis.
m_20260603_003,ep_20260603_667,2026-06-03,光通訊,,concept,theme,bullish,medium,short,有可能在後面這個資金又會再一次的說不定就往光的方向去跑。,提到資金可能再往光通訊方向流動，偏短中期題材判斷。,approved,ASR transcript needs manual cleanup; do not approve until context is verified; review: Context supports short-term capital rotation toward optical theme.
m_20260603_004,ep_20260603_667,2026-06-03,AI PC,,concept,theme,watch,medium,medium,有沒有可能在 AI PC 這邊產出新的可能性。,語氣偏觀察與驗證，尚非明確看多，因此先標 watch。,approved,ASR transcript needs manual cleanup; verify whether this is a new signal or discussion only; review: Context clearly frames AI PC as watch item.
m_20260603_005,ep_20260603_667,2026-06-03,AI PC,,concept,theme,bullish,medium,medium,如果說 AI PC 可以拉起來的話 因為它本身的單價是比較高。,對 AI PC 銷量若改善時的供應鏈價值有正向假設，但仍需確認語氣強度。,approved,ASR transcript needs manual cleanup; concept not included in main backtest; review: Approved with shorter evidence because surrounding ASR omits some component wording.
m_20260603_006,ep_20260603_667,2026-06-03,台積電,2330,TWSE,company,bullish,medium,short,TSMC 很明顯地在轉強 搞不好後面投信的資金進來就有機會會把它推上去。,對 TSMC 型態與資金面有正向短期判斷，可作候選 bullish 訊號。,approved,ASR transcript needs manual cleanup; verify quote and timing before approval; review: Context supports TSMC short-term fund-flow bullish thesis; ASR cleanup still recommended.
m_20260603_007,ep_20260603_667,2026-06-03,NVIDIA,NVDA,US,company,bullish,medium,short,NVIDIA 也是有突破在往上去走 所以確實其實是有機會的。,對 NVIDIA 走勢突破有正向描述，可作候選 bullish 訊號。,approved,ASR transcript needs manual cleanup; verify exact wording before approval; review: Context supports NVIDIA breakout statement.
m_20260603_008,ep_20260603_667,2026-06-03,功率半導體,,concept,theme,bullish,medium,medium,功率半導體相關的一些公司 基本面有滿顯著的在改善中 可能是下一波題材的一個會據點。,對功率半導體基本面與題材延伸有正向判斷，但為概念主題。,approved,ASR transcript needs manual cleanup; concept not included in main backtest; review: Context supports power semiconductor fundamentals/theme statement.
