episode_id,chunk_index,chunk_path,transcript_path,model,transcription_status,notes
ep_20260502_658,0,data/raw/audio_chunks/ep_20260502_658_000.mp3,data/raw/transcripts/ep_20260502_658_000.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260502_658,1,data/raw/audio_chunks/ep_20260502_658_001.mp3,data/raw/transcripts/ep_20260502_658_001.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260502_658,2,data/raw/audio_chunks/ep_20260502_658_002.mp3,data/raw/transcripts/ep_20260502_658_002.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260502_658,3,data/raw/audio_chunks/ep_20260502_658_003.mp3,data/raw/transcripts/ep_20260502_658_003.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260506_659,0,data/raw/audio_chunks/ep_20260506_659_000.mp3,data/raw/transcripts/ep_20260506_659_000.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260506_659,1,data/raw/audio_chunks/ep_20260506_659_001.mp3,data/raw/transcripts/ep_20260506_659_001.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260506_659,2,data/raw/audio_chunks/ep_20260506_659_002.mp3,data/raw/transcripts/ep_20260506_659_002.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260506_659,3,data/raw/audio_chunks/ep_20260506_659_003.mp3,data/raw/transcripts/ep_20260506_659_003.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260509_660,0,data/raw/audio_chunks/ep_20260509_660_000.mp3,data/raw/transcripts/ep_20260509_660_000.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260509_660,1,data/raw/audio_chunks/ep_20260509_660_001.mp3,data/raw/transcripts/ep_20260509_660_001.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260509_660,2,data/raw/audio_chunks/ep_20260509_660_002.mp3,data/raw/transcripts/ep_20260509_660_002.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260509_660,3,data/raw/audio_chunks/ep_20260509_660_003.mp3,data/raw/transcripts/ep_20260509_660_003.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
