episode_id,ticker,market,company_or_theme,matched_aliases,line_numbers,auto_stance,auto_conviction,auto_time_horizon,evidence_text,action
ep_20260502_658,2330,TWSE,台積電,2330;台積;台積電,23;23;675;675;676;676;784;789;800;981;991;1211;1211,neutral,low,short,"下禮拜都正式進入5月的第一個交易日,自己是覺得非常興奮且期待 / 因為4月,相信絕要多數人都繳出了非常暴力的成績 / 就算你沒有在做交易的人,只是把不會放在聯領武林,台積電什麼的人 / 那大家的成績都是非常的好 / 在5月,希望可以維持這樣的一個掌勢",skipped_low_confidence
ep_20260502_658,2454,TWSE,聯發科,聯發科,675;679;699;731,neutral,low,short,因為最近有一個這個新聞 / 滿多人在討論 / 就是台積電跟聯發科的相關的話題 / 就是說在台積電這邊 / 有一個什麼先進封裝的研發大將,skipped_low_confidence
ep_20260506_659,2330,TWSE,台積電,台積;台積電,1438;1445;1448;1462;1462,neutral,low,medium,好 / 下面為小明廢伴在本夢比 / 台積在本意比重 / 心態就像是臨死心水的公務員 / 看到哪業績獎金的業務,skipped_low_confidence
ep_20260506_659,3443,TWSE,創意,3443;GUC,515;516;532;533,past_review,medium,medium,給都動起來 / 那當然前面像是這個 / GUC / 3443那個算是大家都已經知道 / 因為他跟Google高度相關嘛,added_approved_auto_mention
ep_20260509_660,2330,TWSE,台積電,台積;台積電,5;5;161;162;929;929;997;997;998;998,past_review,medium,short,2感旺有整站住 / 最近盤視強到讓人害怕大盤 / 指數4萬2千點台積電噴到2345 / 很多人在問這是不是高點泡沫 / 但跟你說真正的泡沫是你每天睡不到4小時的體力,added_approved_auto_mention
ep_20260513_661,2330,TWSE,台積電,TSMC;台積;台積電,859;859;936;937;940;942;1194;1194;1195;1195;1468;1586;1586,neutral,low,medium,連店我自己是真的不太熟悉 / 但事業先進是因為他有 / 很多台積電的授權 / 一些特殊自成的授權 / 或什麼的,skipped_low_confidence
ep_20260516_662,2330,TWSE,台積電,TSMC;台積;台積電,622;622;627;627;646;646;661;661;680;1126,past_review,medium,medium,就那個金管會的 / 那個宣佈其實非常重要的 / 也就是說放寬台積電的上線 / 讓大家可以買到很多 / 那個其實在過去已經持續的發酵,added_approved_auto_mention
ep_20260520_663,2330,TWSE,台積電,台積;台積電,658;658;1110;1110;1131;1131;1138;1138;1205;1205,neutral,low,medium,那我們今天就大家都可能維持一個 / 有機率的擴散 / 其實像台積電也是這樣子 / 有機率的擴散 / 他並沒有去,skipped_low_confidence
ep_20260523_664,NVDA,US,NVIDIA,NVIDIA;Nvidia,526;526;543;543,neutral,low,medium,就是它現在是直接去 / 直面競爭不完資 / NVIDIA AMD Intel / 或是其他的ASIC業者 / 就是老子要下來打賬賬了,skipped_low_confidence
ep_20260527_665,2330,TWSE,台積電,台積;台積電,509;509;524;524;527;527,,,,像最近 / 應該大家蠻多人在討論 / 就是台積電的一個分紅慘案 / 大家覺得說分紅也太小氣了吧 / 怎麼越專越多錢,skipped_existing_mention
ep_20260527_665,TSLA,US,Tesla,Tesla,589;635,,,,該是不會解嗎應該就是去增加它的持股 / 那同時回去降低一點 / 可能像Tesla的持股 / 因為對我來講 / 反而我就壓住馬斯克的一個故事,skipped_existing_mention
ep_20260530_666,2330,TWSE,台積電,TSMC;台積,1536;1537;1742,neutral,low,medium,首席林生的懸旅掛 / 他是工程師跟他說 / TSMC / TSMC / 比利時楊幼寧家,skipped_low_confidence
ep_20260530_666,CRM,US,Salesforce,Salesforce,753,,,,我覺得最後面都還是靠成績去做證明 / 那不然說像一些公司派的強硬態度 / 你有注意到說像 Salesforce / 他搞了一個正式上的Raker High的一個白白 / 他就狂買股票,skipped_existing_mention
ep_20260530_666,NOW,US,ServiceNow,ServiceNow,761,,,,我狂賣我自己的股票 / 那再來我們也注意到 / 像是 ServiceNow的老闆 / 也是跟大家講說 / 就是外面的那些AI論述,skipped_existing_mention
